,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
1831,"
						Дата голосования:  01.07.2020",Саратовская область,Ртищевская,40441,32738,32738,256,28528,"87,14%",3954,"12,08%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1832,"
						Дата голосования:  01.07.2020",Саратовская область,Самойловская,14505,11082,11082,158,8577,"77,4%",2347,"21,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1833,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Волжская",75522,56642,56606,297,47363,"83,67%",8946,"15,8%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1834,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Заводская",146653,103210,103169,406,80847,"78,36%",21916,"21,24%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1835,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Кировская",116931,83792,83757,1362,64655,"77,19%",17740,"21,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1836,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Ленинская",209732,157861,157432,465,128921,"81,89%",28046,"17,81%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1837,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Октябрьская",87181,61753,61672,506,48587,"78,78%",12579,"20,4%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1838,"
						Дата голосования:  01.07.2020",Саратовская область,"Саратов, Фрунзенская",38628,26806,26785,124,22326,"83,35%",4335,"16,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1839,"
						Дата голосования:  01.07.2020",Саратовская область,Саратовская,37676,33816,33814,137,30582,"90,44%",3095,"9,15%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1840,"
						Дата голосования:  01.07.2020",Саратовская область,Советская,20235,15763,15763,100,12766,"80,99%",2897,"18,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1841,"
						Дата голосования:  01.07.2020",Саратовская область,Татищевская,21853,20459,20458,17,19024,"92,99%",1417,"6,93%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1842,"
						Дата голосования:  01.07.2020",Саратовская область,Светловская,8247,5068,5065,72,2879,"56,84%",2114,"41,74%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1843,"
						Дата голосования:  01.07.2020",Саратовская область,Турковская,9123,7761,7761,64,6577,"84,74%",1120,"14,43%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1844,"
						Дата голосования:  01.07.2020",Саратовская область,Федоровская,14615,11758,11758,75,9516,"80,93%",2167,"18,43%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1845,"
						Дата голосования:  01.07.2020",Саратовская область,Хвалынская,17837,15547,15547,8,14570,"93,72%",969,"6,23%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1846,"
						Дата голосования:  01.07.2020",Саратовская область,Энгельсская,215968,164585,164562,740,139298,"84,65%",24524,"14,9%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1847,"
						Дата голосования:  01.07.2020",Саратовская область,Шиханская,4649,3842,3842,113,3343,"87,01%",386,"10,05%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1848,"
						Дата голосования:  01.07.2020",Саратовская область,Михайловская,1443,1223,1223,1,1101,"90,02%",121,"9,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598071&vrn=100100163596966&prver=0&pronetvd=null&region=64&sub_region=64&type=0&report_mode=null
1849,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Абыйская,3003,1732,1732,8,1119,"64,61%",605,"34,93%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1850,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Алданская,32575,14585,14583,217,8288,"56,83%",6078,"41,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1851,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Аллаиховская,1681,1120,1120,10,739,"65,98%",371,"33,13%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1852,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Амгинская,11695,8244,8244,79,4775,"57,92%",3390,"41,12%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1853,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Анабарская,2589,2253,2253,117,1292,"57,35%",844,"37,46%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1854,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Булунская,5496,3291,3291,27,2294,"69,71%",970,"29,47%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1855,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Верхневилюйская,11392,9742,9742,35,7976,"81,87%",1731,"17,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1856,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Верхнеколымская,2883,1706,1706,17,1257,"73,68%",432,"25,32%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1857,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Верхоянская,8298,4822,4822,43,3371,"69,91%",1408,"29,2%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1858,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Вилюйская,16243,10693,10693,74,6950,"64,99%",3669,"34,31%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1859,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Горная,7133,5175,5175,37,3093,"59,77%",2045,"39,52%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1860,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Жиганская,3209,1966,1966,62,1307,"66,48%",597,"30,37%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1861,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Кобяйская,8505,5733,5733,48,3582,"62,48%",2103,"36,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1862,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Ленская,27917,13081,13077,94,7349,"56,2%",5634,"43,08%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1863,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Мегино-Кангаласская,24399,15827,15606,95,7823,"50,13%",7688,"49,26%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1864,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Мирнинская,53727,23876,23868,393,15031,"62,98%",8444,"35,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1865,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Момская,3037,1942,1942,16,1263,"65,04%",663,"34,14%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1866,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Намская,15782,9786,9786,52,5466,"55,86%",4268,"43,61%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1867,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Нерюнгринская,44177,23930,23927,230,13788,"57,63%",9909,"41,41%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1868,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Нижнеколымская,3034,1997,1997,11,1653,"82,77%",333,"16,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1869,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Нюрбинская,18203,11393,11392,72,6301,"55,31%",5019,"44,06%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1870,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Оймяконская,7373,4074,4074,35,2240,"54,98%",1799,"44,16%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1871,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Олекминская,18592,10823,10823,165,6867,"63,45%",3791,"35,03%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1872,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Оленекская,2262,2114,2114,13,1545,"73,08%",556,"26,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1873,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Среднеколымская,5711,3655,3655,21,2894,"79,18%",740,"20,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1874,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Сунтарская,16873,10085,10085,57,5987,"59,37%",4041,"40,07%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1875,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Таттинская,10902,8559,8559,68,6134,"71,67%",2357,"27,54%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1876,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Томпонская,9758,5015,5015,52,2672,"53,28%",2291,"45,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1877,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Усть-Алданская,14509,9947,9947,80,5823,"58,54%",4044,"40,66%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1878,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Усть-Майская,6280,3709,3708,28,2440,"65,8%",1240,"33,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1879,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Усть-Янская,4798,2788,2788,28,1960,"70,3%",800,"28,69%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1880,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Хангаласская,22686,12789,12789,128,7275,"56,88%",5386,"42,11%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1881,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Чурапчинская,15147,9549,9549,46,5430,"56,86%",4073,"42,65%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1882,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Эвено-Бытантайская,1969,1145,1145,6,748,"65,33%",391,"34,15%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1883,"
						Дата голосования:  01.07.2020",Республика Саха (Якутия),Якутская городская,189368,93561,93521,1064,47703,"51,01%",44754,"47,85%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598023&vrn=100100163596966&prver=0&pronetvd=null&region=14&sub_region=14&type=0&report_mode=null
1884,"
						Дата голосования:  01.07.2020",Тульская область,Алексинская,56678,41297,41297,346,34233,"82,89%",6718,"16,27%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1885,"
						Дата голосования:  01.07.2020",Тульская область,Арсеньевская,9359,6454,6454,40,5074,"78,62%",1340,"20,76%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1886,"
						Дата голосования:  01.07.2020",Тульская область,Белевская,16387,11783,11782,63,9193,"78,03%",2526,"21,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1887,"
						Дата голосования:  01.07.2020",Тульская область,Богородицкая,38849,31818,31801,210,29399,"92,45%",2192,"6,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1888,"
						Дата голосования:  01.07.2020",Тульская область,Веневская,23835,19929,19928,126,17145,"86,03%",2657,"13,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1889,"
						Дата голосования:  01.07.2020",Тульская область,Воловская,10304,7799,7799,26,6557,"84,07%",1216,"15,59%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1890,"
						Дата голосования:  01.07.2020",Тульская область,Донская,44856,33390,33390,124,28115,"84,2%",5151,"15,43%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1891,"
						Дата голосования:  01.07.2020",Тульская область,Дубенская,10155,8565,8565,100,7158,"83,57%",1307,"15,26%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1892,"
						Дата голосования:  01.07.2020",Тульская область,Ефремовская,46463,26798,26798,145,21961,"81,95%",4692,"17,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1893,"
						Дата голосования:  01.07.2020",Тульская область,Заокская,14455,10464,10463,73,8402,"80,3%",1988,19%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1894,"
						Дата голосования:  01.07.2020",Тульская область,Каменская,6591,5511,5511,17,4560,"82,74%",934,"16,95%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1895,"
						Дата голосования:  01.07.2020",Тульская область,Кимовская,32208,24254,24253,257,20955,"86,4%",3041,"12,54%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1896,"
						Дата голосования:  01.07.2020",Тульская область,Киреевская,55998,43622,43622,285,35260,"80,83%",8077,"18,52%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1897,"
						Дата голосования:  01.07.2020",Тульская область,Куркинская,8212,6728,6728,24,5620,"83,53%",1084,"16,11%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1898,"
						Дата голосования:  01.07.2020",Тульская область,Ленинская,55072,41653,41633,234,35041,"84,17%",6358,"15,27%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1899,"
						Дата голосования:  01.07.2020",Тульская область,Новомосковская,111854,86210,86210,818,72784,"84,43%",12608,"14,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1900,"
						Дата голосования:  01.07.2020",Тульская область,Одоевская,9173,6601,6601,19,4873,"73,82%",1709,"25,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1901,"
						Дата голосования:  01.07.2020",Тульская область,Плавская,19462,16582,16581,78,14566,"87,85%",1937,"11,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1902,"
						Дата голосования:  01.07.2020",Тульская область,Суворовская,26151,19487,19487,196,15722,"80,68%",3569,"18,31%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1903,"
						Дата голосования:  01.07.2020",Тульская область,Тепло-Огаревская,9934,7670,7670,35,6436,"83,91%",1199,"15,63%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1904,"
						Дата голосования:  01.07.2020",Тульская область,"Тула, Зареченская",72232,51696,51679,374,42092,"81,45%",9213,"17,83%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1905,"
						Дата голосования:  01.07.2020",Тульская область,"Тула, Привокзальная",66613,47635,47597,311,38743,"81,4%",8543,"17,95%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1906,"
						Дата голосования:  01.07.2020",Тульская область,"Тула, Пролетарская",118396,83303,83296,353,70171,"84,24%",12772,"15,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1907,"
						Дата голосования:  01.07.2020",Тульская область,"Тула, Советская",51449,32849,32832,200,26967,"82,14%",5665,"17,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1908,"
						Дата голосования:  01.07.2020",Тульская область,"Тула, Центральная",73692,46594,46582,403,36764,"78,92%",9415,"20,21%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1909,"
						Дата голосования:  01.07.2020",Тульская область,Узловская,63645,50670,50668,580,41598,"82,1%",8490,"16,76%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1910,"
						Дата голосования:  01.07.2020",Тульская область,Чернская,14806,11152,11152,30,9082,"81,44%",2040,"18,29%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1911,"
						Дата голосования:  01.07.2020",Тульская область,Щекинская,78883,57701,57701,380,48114,"83,39%",9207,"15,96%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1912,"
						Дата голосования:  01.07.2020",Тульская область,Ясногорская,23581,17295,17295,111,14180,"81,99%",3004,"17,37%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598078&vrn=100100163596966&prver=0&pronetvd=null&region=71&sub_region=71&type=0&report_mode=null
1913,"
						Дата голосования:  01.07.2020",город Москва,район Богородское,58891,24236,24214,204,13854,"57,21%",10156,"41,94%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1914,"
						Дата голосования:  01.07.2020",город Москва,район Вешняки ,64941,35305,35149,270,24553,"69,85%",10326,"29,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1915,"
						Дата голосования:  01.07.2020",город Москва,район Восточное Измайлово ,37501,18608,18594,192,12065,"64,89%",6337,"34,08%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1916,"
						Дата голосования:  01.07.2020",город Москва,район Гольяново ,89863,50515,50471,368,36585,"72,49%",13518,"26,78%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1917,"
						Дата голосования:  01.07.2020",город Москва,район Ивановское ,69095,30527,30498,302,20551,"67,38%",9645,"31,63%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1918,"
						Дата голосования:  01.07.2020",город Москва,район Измайлово ,52238,24987,24976,216,16037,"64,21%",8723,"34,93%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1919,"
						Дата голосования:  01.07.2020",город Москва,район Косино-Ухтомский ,37464,18573,18522,307,10829,"58,47%",7386,"39,88%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
1920,"
						Дата голосования:  01.07.2020",город Москва,район Метрогородок ,20115,9154,9111,108,5745,"63,06%",3258,"35,76%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598083&vrn=100100163596966&prver=0&pronetvd=null&region=77&sub_region=77&type=0&report_mode=null
